TYPE	CODE	DESC
PR	D0532	nan
PR	4A1204Z	MONITORING OF CARDIAC ELECTRICAL ACTIVITY, OPEN APPROACH
DX	67403	CEREBROVASCULAR DISORDER, ANTEPARTUM
RX	03030061115	nan
PR	Q4128	FLEXHD, ALLOPATCHHD, OR MATRIX HD, PER SQ CM
PR	87670	nan
RX	63323054901	HEPARIN LOCK
PR	9513	ULTRASOUND STUDY OF EYE
RX	49281021501	nan
PR	25900	AMPUTATION, FOREARM, THROUGH RADIUS AND ULNA;
DX	90250	UNSPECIFIED ILIAC VESSEL(S) INJURY
DX	S22011D	STABLE BURST FRACTURE OF FIRST THORACIC VERTEBRA, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING
DX	T8453XS	INFECTION AND INFLAMMATORY REACTION DUE TO INTERNAL RIGHT KNEE PROSTHESIS, SEQUELA
PR	B41C1ZZ	FLUOROSCOPY OF PELVIC ARTERIES USING LOW OSMOLAR CONTRAST
DX	T24399D	BURN OF THIRD DEGREE OF MULTIPLE SITES OF UNSPECIFIED LOWER LIMB, EXCEPT ANKLE AND FOOT, SUBSEQUENT ENCOUNTER
DX	3484	COMPRESSION OF BRAIN
DX	T83091A	OTHER MECHANICAL COMPLICATION OF INDWELLING URETHRAL CATHETER, INITIAL ENCOUNTER
RX	67457042130	DEXAMETHASONE SODIUM PHOSPHATE
DX	S42112A	DISPLACED FRACTURE OF BODY OF SCAPULA, LEFT SHOULDER, INITIAL ENCOUNTER FOR CLOSED FRACTURE
PR	0H9U0ZX	DRAINAGE OF LEFT BREAST, OPEN APPROACH, DIAGNOSTIC
DX	S86811S	STRAIN OF OTHER MUSCLE(S) AND TENDON(S) AT LOWER LEG LEVEL, RIGHT LEG, SEQUELA
PR	6010F	DYSPHAGIA SCREENING CONDUCTED PRIOR TO ORDER FOR OR RECEIPT OF ANY FOODS, FLUIDS OR MEDICATION BY MOUTH (STR)
PR	02HN4KZ	INSERTION OF DEFIBRILLATOR LEAD INTO PERICARDIUM, PERCUTANEOUS ENDOSCOPIC APPROACH
DX	Z9109	OTHER ALLERGY STATUS, OTHER THAN TO DRUGS AND BIOLOGICAL SUBSTANCES
DX	I97820	POSTPROCEDURAL CEREBROVASCULAR INFARCTION FOLLOWING CARDIAC SURGERY
DX	58400	nan
DX	M13122	MONOARTHRITIS, NOT ELSEWHERE CLASSIFIED, LEFT ELBOW
RX	00744379902	nan
PR	00.54	nan
PR	0RUL0JZ	SUPPLEMENT RIGHT ELBOW JOINT WITH SYNTHETIC SUBSTITUTE, OPEN APPROACH
RX	00004196304	nan
PR	09TW4ZZ	RESECTION OF RIGHT SPHENOID SINUS, PERCUTANEOUS ENDOSCOPIC APPROACH
DX	T438X5S	ADVERSE EFFECT OF OTHER PSYCHOTROPIC DRUGS, SEQUELA
DX	K08134	COMPLETE LOSS OF TEETH DUE TO CARIES, CLASS IV
PR	14.020	nan
PR	0QS235Z	REPOSITION RIGHT PELVIC BONE WITH EXTERNAL FIXATION DEVICE, PERCUTANEOUS APPROACH
RX	00143966906	FLUCONAZOLE-NACL
DX	7381	OTHER ACQUIRED DEFORMITY OF HEAD
DX	T378X1A	POISONING BY OTHER SPECIFIED SYSTEMIC ANTI-INFECTIVES AND ANTIPARASITICS, ACCIDENTAL (UNINTENTIONAL), INITIAL ENCOUNTER
PR	0LBW0ZZ	EXCISION OF LEFT FOOT TENDON, OPEN APPROACH
PR	72158	MAGNETIC RESONANCE (EG, PROTON) IMAGING, SPINAL CANAL AND CONTENTS, WITHOUT CONTRAST MATERIAL, FOLLOWED BY CONTRAST MATERIAL(S) AND FURTHER SEQUENCES; LUMBAR
PR	86707	HEPATITIS BE ANTIBODY (HBEAB)
DX	E0510	THYROTOXICOSIS WITH TOXIC SINGLE THYROID NODULE WITHOUT THYROTOXIC CRISIS OR STORM
RX	00527134210	LEVOTHYROXINE SODIUM
RX	24208031425	FLURBIPROFEN SODIUM
PR	3822	PERCUTANEOUS ANGIOSCOPY
DX	Z100129	nan
DX	V00322A	SNOW-SKIER COLLIDING WITH STATIONARY OBJECT, INITIAL ENCOUNTER
PR	BT1B1ZZ	FLUOROSCOPY OF BLADDER AND URETHRA USING LOW OSMOLAR CONTRAST
PR	77778	INTERSTITIAL RADIATION SOURCE APPLICATION, COMPLEX, INCLUDES SUPERVISION, HANDLING, LOADING OF RADIATION SOURCE, WHEN PERFORMED
DX	M25567	nan
RX	04928151588	nan
RX	00009074632	nan
PR	0CNS0ZZ	RELEASE LARYNX, OPEN APPROACH
DX	7282	MUSCULAR WASTING AND DISUSE ATROPHY, NOT ELSEWHERE CLASSIFIED
DX	S42145A	NONDISPLACED FRACTURE OF GLENOID CAVITY OF SCAPULA, LEFT SHOULDER, INITIAL ENCOUNTER FOR CLOSED FRACTURE
DX	O318X13	OTHER COMPLICATIONS SPECIFIC TO MULTIPLE GESTATION, FIRST TRIMESTER, FETUS 3
RX	05789622110	nan
PR	9214	BONE SCAN
RX	68032039516	RE-PB HYOS
DX	S82425F	NONDISPLACED TRANSVERSE FRACTURE OF SHAFT OF LEFT FIBULA, SUBSEQUENT ENCOUNTER FOR OPEN FRACTURE TYPE IIIA, IIIB, OR IIIC WITH ROUTINE HEALING
DX	1830	MALIGNANT NEOPLASM OF OVARY
DX	S51801S	UNSPECIFIED OPEN WOUND OF RIGHT FOREARM, SEQUELA
PR	02.01	nan
DX	M84446D	PATHOLOGICAL FRACTURE, UNSPECIFIED FINGER(S), SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING
DX	S31101S	UNSPECIFIED OPEN WOUND OF ABDOMINAL WALL, LEFT UPPER QUADRANT WITHOUT PENETRATION INTO PERITONEAL CAVITY, SEQUELA
RX	62175089246	ATORVASTATIN CALCIUM
DX	T3160	BURNS INVOLVING 60-69% OF BODY SURFACE WITH 0% TO 9% THIRD DEGREE BURNS
PR	00.73	nan
PR	78725	KIDNEY FUNCTION STUDY, NON-IMAGING RADIOISOTOPIC STUDY
RX	49281086088	IPOL
PR	S9128	SPEECH THERAPY, IN THE HOME, PER DIEM
DX	S89302K	UNSPECIFIED PHYSEAL FRACTURE OF LOWER END OF LEFT FIBULA, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH NONUNION
PR	28405	CLOSED TREATMENT OF CALCANEAL FRACTURE; WITH MANIPULATION
PR	B7041ZZ	PLAIN RADIOGRAPHY OF HEAD AND NECK LYMPHATICS USING LOW OSMOLAR CONTRAST
RX	00781711455	FENTANYL
DX	65830	DELAYED DELIVERY AFTER ARTIFICIAL RUPTURE OF MEMBRANES, UNSPECIFIED AS TO EPISODE OF CARE
RX	00006410701	nan
DX	SA2832A	nan
DX	O1224	GESTATIONAL EDEMA WITH PROTEINURIA, COMPLICATING CHILDBIRTH
RX	00517003135	nan
PR	26536	ARTHROPLASTY, INTERPHALANGEAL JOINT; WITH PROSTHETIC IMPLANT, EACH JOINT
DX	L908	OTHER ATROPHIC DISORDERS OF SKIN
PR	A4604	TUBING WITH INTEGRATED HEATING ELEMENT FOR USE WITH POSITIVE AIRWAY PRESSURE DEVICE
RX	00074433974	nan
DX	S43013S	ANTERIOR SUBLUXATION OF UNSPECIFIED HUMERUS, SEQUELA
DX	E9280	PROLONGED STAY IN WEIGHTLESS ENVIRONMENT
RX	17478040303	FUL-GLO
DX	O693XX1	LABOR AND DELIVERY COMPLICATED BY SHORT CORD, FETUS 1
RX	00517070200	nan
DX	S76309D	UNSPECIFIED INJURY OF MUSCLE, FASCIA AND TENDON OF THE POSTERIOR MUSCLE GROUP AT THIGH LEVEL, UNSPECIFIED THIGH, SUBSEQUENT ENCOUNTER
PR	0R993ZZ	DRAINAGE OF THORACIC VERTEBRAL DISC, PERCUTANEOUS APPROACH
DX	W12XXXA	FALL ON AND FROM SCAFFOLDING, INITIAL ENCOUNTER
DX	20410	CHRONIC LYMPHOID LEUKEMIA, WITHOUT MENTION OF HAVING ACHIEVED REMISSION
RX	54868549500	FLUVIRIN
DX	S72499A	OTHER FRACTURE OF LOWER END OF UNSPECIFIED FEMUR, INITIAL ENCOUNTER FOR CLOSED FRACTURE
DX	1705	MALIGNANT NEOPLASM OF SHORT BONES OF UPPER LIMB
RX	28400010501	RECOTHROM
DX	17352	SQUAMOUS CELL CARCINOMA OF SKIN OF TRUNK, EXCEPT SCROTUM
PR	9834	nan
DX	5755	FISTULA OF GALLBLADDER
PR	Q4135	MEDISKIN, PER SQ CM
DX	S3282A	nan
DX	S40869S	INSECT BITE (NONVENOMOUS) OF UNSPECIFIED UPPER ARM, SEQUELA
RX	00069007801	PACLITAXEL
PR	51610	INJECTION PROCEDURE FOR RETROGRADE URETHROCYSTOGRAPHY
RX	13668011730	LOSARTAN-HYDROCHLOROTHIAZIDE
DX	H44812	HEMOPHTHALMOS, LEFT EYE
PR	3CGPT	nan
RX	23360001620	ONDANSETRON HCL
DX	C96A	HISTIOCYTIC SARCOMA
RX	00407222317	VISIPAQUE
PR	1CGMV	nan
DX	S59229A	SALTER-HARRIS TYPE II PHYSEAL FRACTURE OF LOWER END OF RADIUS, UNSPECIFIED ARM, INITIAL ENCOUNTER FOR CLOSED FRACTURE
PR	RMB2A	nan
PR	1AGN1	nan
DX	30572	NONDEPENDENT AMPHETAMINE OR RELATED ACTING SYMPATHOMIMETIC ABUSE, EPISODIC
RX	30003049402	nan
DX	45341	ACUTE VENOUS EMBOLISM AND THROMBOSIS OF DEEP VESSELS OF PROXIMAL LOWER EXTREMITY
PR	85385	FIBRINOGEN; ANTIGEN
PR	0WB8XZZ	EXCISION OF CHEST WALL, EXTERNAL APPROACH
DX	S225XXD	FLAIL CHEST, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH ROUTINE HEALING
RX	25021020110	MESNA
DX	S1110XA	UNSPECIFIED OPEN WOUND OF THYROID GLAND, INITIAL ENCOUNTER
DX	M60045	INFECTIVE MYOSITIS, LEFT FINGER(S)
PR	0PST0ZZ	REPOSITION RIGHT FINGER PHALANX, OPEN APPROACH
RX	00409120703	GENTAMICIN SULFATE
RX	16252054733	IPRATROPIUM-ALBUTEROL
RX	00007416105	nan
DX	M66872	SPONTANEOUS RUPTURE OF OTHER TENDONS, LEFT ANKLE AND FOOT
DX	S53401	UNSPECIFIED SPRAIN OF RIGHT ELBOW
DX	Y92192	BATHROOM IN OTHER SPECIFIED RESIDENTIAL INSTITUTION AS THE PLACE OF OCCURRENCE OF THE EXTERNAL CAUSE
RX	00015347630	TAXOL
DX	S56108D	UNSPECIFIED INJURY OF FLEXOR MUSCLE, FASCIA AND TENDON OF LEFT LITTLE FINGER AT FOREARM LEVEL, SUBSEQUENT ENCOUNTER
DX	352	DISORDERS OF OTHER CRANIAL NERVES
PR	10D17ZZ	EXTRACTION OF PRODUCTS OF CONCEPTION, RETAINED, VIA NATURAL OR ARTIFICIAL OPENING
PR	0GBJ0ZZ	EXCISION OF THYROID GLAND ISTHMUS, OPEN APPROACH
RX	00006498110	nan
DX	Q989	SEX CHROMOSOME ABNORMALITY, MALE PHENOTYPE, UNSPECIFIED
RX	33342004907	IRBESARTAN
DX	S50821S	BLISTER (NONTHERMAL) OF RIGHT FOREARM, SEQUELA
PR	5381	PLICATION OF THE DIAPHRAGM
RX	00065175014	ILEVRO
RX	63833082502	BERINERT
PR	E0673	SEGMENTAL GRADIENT PRESSURE PNEUMATIC APPLIANCE, HALF LEG
DX	95990	nan
DX	S65301A	UNSPECIFIED INJURY OF DEEP PALMAR ARCH OF RIGHT HAND, INITIAL ENCOUNTER
PR	3E1M38X	IRRIGATION OF PERITONEAL CAVITY USING IRRIGATING SUBSTANCE, PERCUTANEOUS APPROACH, DIAGNOSTIC
PR	7252	OTHER PARTIAL BREECH EXTRACTION
PR	77401	RADIATION TREATMENT DELIVERY, SUPERFICIAL AND/OR ORTHO VOLTAGE, PER DAY
PR	0RWA04Z	REVISION OF INTERNAL FIXATION DEVICE IN THORACOLUMBAR VERTEBRAL JOINT, OPEN APPROACH
PR	0NU707Z	SUPPLEMENT OCCIPITAL BONE WITH AUTOLOGOUS TISSUE SUBSTITUTE, OPEN APPROACH
DX	M87111	OSTEONECROSIS DUE TO DRUGS, RIGHT SHOULDER
DX	S21002S	UNSPECIFIED OPEN WOUND OF LEFT BREAST, SEQUELA
DX	M87353	OTHER SECONDARY OSTEONECROSIS, UNSPECIFIED FEMUR
PR	14021	ADJACENT TISSUE TRANSFER OR REARRANGEMENT, SCALP, ARMS AND/OR LEGS; DEFECT 10.1 SQ CM TO 30.0 SQ CM
RX	00006096458	PEPCID
PR	067M3DZ	DILATION OF RIGHT FEMORAL VEIN WITH INTRALUMINAL DEVICE, PERCUTANEOUS APPROACH
DX	H16132	PHOTOKERATITIS, LEFT EYE
PR	0SGJ0KZ	FUSION OF LEFT TARSAL JOINT WITH NONAUTOLOGOUS TISSUE SUBSTITUTE, OPEN APPROACH
DX	S82441A	DISPLACED SPIRAL FRACTURE OF SHAFT OF RIGHT FIBULA, INITIAL ENCOUNTER FOR CLOSED FRACTURE
DX	T23131D	BURN OF FIRST DEGREE OF MULTIPLE RIGHT FINGERS (NAIL), NOT INCLUDING THUMB, SUBSEQUENT ENCOUNTER
RX	00003482700	nan
PR	0DN60ZZ	RELEASE STOMACH, OPEN APPROACH
DX	F17210	NICOTINE DEPENDENCE, CIGARETTES, UNCOMPLICATED
PR	8E0X0CZ	ROBOTIC ASSISTED PROCEDURE OF UPPER EXTREMITY, OPEN APPROACH
PR	A9577	INJECTION, GADOBENATE DIMEGLUMINE (MULTIHANCE), PER ML
DX	S00279A	OTHER SUPERFICIAL BITE OF UNSPECIFIED EYELID AND PERIOCULAR AREA, INITIAL ENCOUNTER
DX	T8453X	nan
DX	S0191XA	LACERATION WITHOUT FOREIGN BODY OF UNSPECIFIED PART OF HEAD, INITIAL ENCOUNTER
DX	S63636A	SPRAIN OF INTERPHALANGEAL JOINT OF RIGHT LITTLE FINGER, INITIAL ENCOUNTER
DX	W5559XA	OTHER CONTACT WITH RACCOON, INITIAL ENCOUNTER
DX	E9889	INJURY BY UNSPECIFIED MEANS, UNDETERMINED WHETHER ACCIDENTALLY OR PURPOSELY INFLICTED
PR	07.11	nan
PR	0TBD7ZZ	EXCISION OF URETHRA, VIA NATURAL OR ARTIFICIAL OPENING
DX	F17	NICOTINE DEPENDENCE
DX	M7602XD	nan
DX	Z8941	ACQUIRED ABSENCE OF GREAT TOE
DX	I1429	nan
RX	04556704451	nan
DX	3819	UNSPECIFIED EUSTACHIAN TUBE DISORDER
PR	A0801	nan
DX	S1012XA	BLISTER (NONTHERMAL) OF THROAT, INITIAL ENCOUNTER
DX	S86212D	STRAIN OF MUSCLE(S) AND TENDON(S) OF ANTERIOR MUSCLE GROUP AT LOWER LEG LEVEL, LEFT LEG, SUBSEQUENT ENCOUNTER
RX	00407069050	OMNISCAN
RX	39822530005	TRIAMCINOLONE ACETONIDE
RX	70461112010	nan
RX	00006017100	nan
DX	V8652XA	DRIVER OF SNOWMOBILE INJURED IN NONTRAFFIC ACCIDENT, INITIAL ENCOUNTER
DX	Q862	DYSMORPHISM DUE TO WARFARIN
RX	07060000837	nan
RX	76125090010	GAMMAKED
RX	00023392012	nan
DX	27490	nan
PR	5209	OTHER PANCREATOTOMY
RX	05976245381	nan
RX	00074152203	DEXTROSE IN WATER
PR	77240	nan
DX	C7A090	MALIGNANT CARCINOID TUMOR OF THE BRONCHUS AND LUNG
PR	0DP00UZ	REMOVAL OF FEEDING DEVICE FROM UPPER INTESTINAL TRACT, OPEN APPROACH
RX	00000NDCNDC	nan
DX	S92114K	NONDISPLACED FRACTURE OF NECK OF RIGHT TALUS, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH NONUNION
DX	T22092D	BURN OF UNSPECIFIED DEGREE OF MULTIPLE SITES OF LEFT SHOULDER AND UPPER LIMB, EXCEPT WRIST AND HAND, SUBSEQUENT ENCOUNTER
PR	03C30ZZ	EXTIRPATION OF MATTER FROM RIGHT SUBCLAVIAN ARTERY, OPEN APPROACH
PR	4AFLT	nan
PR	BT130ZZ	FLUOROSCOPY OF BILATERAL KIDNEYS USING HIGH OSMOLAR CONTRAST
PR	0KTT0ZZ	RESECTION OF LEFT LOWER LEG MUSCLE, OPEN APPROACH
PR	0NUD4JZ	SUPPLEMENT LEFT SPHENOID BONE WITH SYNTHETIC SUBSTITUTE, PERCUTANEOUS ENDOSCOPIC APPROACH
RX	62991112502	PROMETHAZINE HCL
RX	00090003930	nan
PR	3061F	NEGATIVE MICROALBUMINURIA TEST RESULT DOCUMENTED AND REVIEWED (DM)
DX	F19951	OTHER PSYCHOACTIVE SUBSTANCE USE, UNSPECIFIED WITH PSYCHOACTIVE SUBSTANCE-INDUCED PSYCHOTIC DISORDER WITH HALLUCINATIONS
PR	B406YZZ	PLAIN RADIOGRAPHY OF RIGHT RENAL ARTERY USING OTHER CONTRAST
PR	08SN0ZZ	REPOSITION RIGHT UPPER EYELID, OPEN APPROACH
RX	00591570801	CLINDAMYCIN HCL
PR	33720	REPAIR SINUS OF VALSALVA ANEURYSM, WITH CARDIOPULMONARY BYPASS
RX	00064017101	nan
DX	S82002F	UNSPECIFIED FRACTURE OF LEFT PATELLA, SUBSEQUENT ENCOUNTER FOR OPEN FRACTURE TYPE IIIA, IIIB, OR IIIC WITH ROUTINE HEALING
DX	S62175G	NONDISPLACED FRACTURE OF TRAPEZIUM [LARGER MULTANGULAR], LEFT WRIST, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH DELAYED HEALING
DX	H20053	HYPOPYON, BILATERAL
DX	S63234S	SUBLUXATION OF PROXIMAL INTERPHALANGEAL JOINT OF RIGHT RING FINGER, SEQUELA
RX	00409733601	nan
RX	06416008425	nan
RX	52372989825	METHYLCOBALAMIN
PR	54865	EXPLORATION OF EPIDIDYMIS, WITH OR WITHOUT BIOPSY
PR	37.81	nan
DX	T39396A	UNDERDOSING OF OTHER NONSTEROIDAL ANTI-INFLAMMATORY DRUGS [NSAID], INITIAL ENCOUNTER
DX	K2940	CHRONIC ATROPHIC GASTRITIS WITHOUT BLEEDING
RX	70074062762	ENSURE COMPLETE
DX	S63273A	DISLOCATION OF UNSPECIFIED INTERPHALANGEAL JOINT OF LEFT MIDDLE FINGER, INITIAL ENCOUNTER
DX	T65811D	TOXIC EFFECT OF LATEX, ACCIDENTAL (UNINTENTIONAL), SUBSEQUENT ENCOUNTER
RX	55045324205	DEPO-MEDROL
DX	M49672	nan
DX	P015	NEWBORN AFFECTED BY MULTIPLE PREGNANCY
DX	9856	TOXIC EFFECT OF CHROMIUM
DX	T8061XD	OTHER SERUM REACTION DUE TO ADMINISTRATION OF BLOOD AND BLOOD PRODUCTS, SUBSEQUENT ENCOUNTER
DX	O355XX1	MATERNAL CARE FOR (SUSPECTED) DAMAGE TO FETUS BY DRUGS, FETUS 1
DX	S72352Q	DISPLACED COMMINUTED FRACTURE OF SHAFT OF LEFT FEMUR, SUBSEQUENT ENCOUNTER FOR OPEN FRACTURE TYPE I OR II WITH MALUNION
DX	S8252XM	DISPLACED FRACTURE OF MEDIAL MALLEOLUS OF LEFT TIBIA, SUBSEQUENT ENCOUNTER FOR OPEN FRACTURE TYPE I OR II WITH NONUNION
PR	86316	IMMUNOASSAY FOR TUMOR ANTIGEN, OTHER ANTIGEN, QUANTITATIVE (EG, CA 50, 72-4, 549), EACH
PR	73562	RADIOLOGIC EXAMINATION, KNEE; 3 VIEWS
PR	0HMXXZZ	REATTACHMENT OF LEFT NIPPLE, EXTERNAL APPROACH
DX	S42344K	NONDISPLACED SPIRAL FRACTURE OF SHAFT OF HUMERUS, RIGHT ARM, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH NONUNION
DX	S52599D	OTHER FRACTURES OF LOWER END OF UNSPECIFIED RADIUS, SUBSEQUENT ENCOUNTER FOR CLOSED FRACTURE WITH ROUTINE HEALING
PR	047S35Z	DILATION OF LEFT POSTERIOR TIBIAL ARTERY WITH TWO DRUG-ELUTING INTRALUMINAL DEVICES, PERCUTANEOUS APPROACH
RX	00074158301	SODIUM CHLORIDE
RX	67457022615	AMPICILLIN-SULBACTAM
RX	49281057115	nan
DX	S85911S	LACERATION OF UNSPECIFIED BLOOD VESSEL AT LOWER LEG LEVEL, RIGHT LEG, SEQUELA
RX	49735000627	NEOCATE JUNIOR WITH PREBIOTICS
PR	S8121	OXYGEN CONTENTS, LIQUID, 1 UNIT EQUALS 1 POUND
PR	9761	REMOVAL OF PYELOSTOMY AND NEPHROSTOMY TUBE
RX	59762003902	DOFETILIDE
PR	K0015	DETACHABLE, NONADJUSTABLE HEIGHT ARMREST, EACH
PR	H2034	ALCOHOL AND/OR DRUG ABUSE HALFWAY HOUSE SERVICES, PER DIEM
DX	H401291	LOW-TENSION GLAUCOMA, UNSPECIFIED EYE, MILD STAGE
RX	04094275010	nan
PR	29862	ARTHROSCOPY, HIP, SURGICAL; WITH DEBRIDEMENT/SHAVING OF ARTICULAR CARTILAGE (CHONDROPLASTY), ABRASION ARTHROPLASTY, AND/OR RESECTION OF LABRUM
DX	M19029	PRIMARY OSTEOARTHRITIS, UNSPECIFIED ELBOW
PR	0W9J3	nan
DX	B1001	HUMAN HERPESVIRUS 6 ENCEPHALITIS
DX	W5921XA	BITTEN BY TURTLE, INITIAL ENCOUNTER
RX	51927435000	PCCA MVC CREAM
DX	I7774	DISSECTION OF VERTEBRAL ARTERY
DX	S14123S	CENTRAL CORD SYNDROME AT C3 LEVEL OF CERVICAL SPINAL CORD, SEQUELA
DX	J810	ACUTE PULMONARY EDEMA
DX	G08	INTRACRANIAL AND INTRASPINAL PHLEBITIS AND THROMBOPHLEBITIS
DX	S65311A	LACERATION OF DEEP PALMAR ARCH OF RIGHT HAND, INITIAL ENCOUNTER
PR	2W0BX4Z	CHANGE BANDAGE ON LEFT UPPER ARM
DX	A300	INDETERMINATE LEPROSY
PR	0MQV0ZZ	REPAIR RIGHT LOWER EXTREMITY BURSA AND LIGAMENT, OPEN APPROACH
DX	S01422S	LACERATION WITH FOREIGN BODY OF LEFT CHEEK AND TEMPOROMANDIBULAR AREA, SEQUELA
PR	36147	INTRODUCTION OF NEEDLE AND/OR CATHETER, ARTERIOVENOUS SHUNT CREATED FOR DIALYSIS (GRAFT/FISTULA); INITIAL ACCESS WITH COMPLETE RADIOLOGICAL EVALUATION OF DIALYSIS ACCESS, INCLUDING FLUOROSCOPY, IMAGE DOCUMENTATION AND REPORT (INCLUDES ACCESS OF SHUNT, INJECTION[S] OF CONTRAST, AND ALL NECESSARY IMAGING FROM THE ARTERIAL ANASTOMOSIS AND ADJACENT ARTERY THROUGH ENTIRE VENOUS OUTFLOW, INCLUDING THE INFERIOR OR SUPERIOR VENA CAVA)
RX	50383082416	SULFAMETHOXAZOLE-TRIMETHOPRIM
RX	00093029305	CARBIDOPA-LEVODOPA
DX	I83205	VARICOSE VEINS OF UNSPECIFIED LOWER EXTREMITY WITH BOTH ULCER OTHER PART OF FOOT AND INFLAMMATION
PR	99174	INSTRUMENT-BASED OCULAR SCREENING (EG, PHOTOSCREENING, AUTOMATED-REFRACTION), BILATERAL; WITH REMOTE ANALYSIS AND REPORT
DX	Q385	CONGENITAL MALFORMATIONS OF PALATE, NOT ELSEWHERE CLASSIFIED
RX	42971041358	nan
PR	63251	LAMINECTOMY FOR EXCISION OR OCCLUSION OF ARTERIOVENOUS MALFORMATION OF SPINAL CORD; THORACIC
DX	S4490XD	INJURY OF UNSPECIFIED NERVE AT SHOULDER AND UPPER ARM LEVEL, UNSPECIFIED ARM, SUBSEQUENT ENCOUNTER
DX	37105	PHTHISICAL CORNEA
RX	51479005530	MAXIPIME
RX	10454071010	MYOBLOC
RX	00378662993	EPROSARTAN MESYLATE
DX	M15112	nan
PR	94.46	nan
DX	S82432S	DISPLACED OBLIQUE FRACTURE OF SHAFT OF LEFT FIBULA, SEQUELA
DX	8484	SPRAIN AND STRAIN OF STERNUM
PR	73721	MAGNETIC RESONANCE (EG, PROTON) IMAGING, ANY JOINT OF LOWER EXTREMITY; WITHOUT CONTRAST MATERIAL
RX	50458058601	CONCERTA
DX	V4312XS	CAR PASSENGER INJURED IN COLLISION WITH OTHER TYPE CAR IN NONTRAFFIC ACCIDENT, SEQUELA
DX	R1032	LEFT LOWER QUADRANT PAIN
RX	00581600811	nan
DX	S99202G	UNSPECIFIED PHYSEAL FRACTURE OF PHALANX OF LEFT TOE, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH DELAYED HEALING
DX	S52335A	NONDISPLACED OBLIQUE FRACTURE OF SHAFT OF LEFT RADIUS, INITIAL ENCOUNTER FOR CLOSED FRACTURE
DX	K55061	FOCAL (SEGMENTAL) ACUTE INFARCTION OF INTESTINE, PART UNSPECIFIED
DX	C099	MALIGNANT NEOPLASM OF TONSIL, UNSPECIFIED
RX	00591222315	CYCLOSPORINE MODIFIED
DX	S79822D	OTHER SPECIFIED INJURIES OF LEFT THIGH, SUBSEQUENT ENCOUNTER
RX	47335000388	CARBIDOPA-LEVODOPA-ENTACAPONE
DX	75010	CONGENITAL ANOMALY OF TONGUE, UNSPECIFIED
DX	S99291A	OTHER PHYSEAL FRACTURE OF PHALANX OF RIGHT TOE, INITIAL ENCOUNTER FOR CLOSED FRACTURE
RX	00143127001	LISINOPRIL
DX	56203	DIVERTICULITIS OF SMALL INTESTINE WITH HEMORRHAGE
PR	8026	ARTHROSCOPY OF KNEE
DX	20108	HODGKIN'S PARAGRANULOMA OF LYMPH NODES OF MULTIPLE SITES
RX	25543000101	nan
DX	UI10	nan
PR	BT14ZZZ	FLUOROSCOPY OF KIDNEYS, URETERS AND BLADDER
RX	00019550551	HEXABRIX
RX	49281010058	nan
DX	3489	UNSPECIFIED CONDITION OF BRAIN
PR	0C913ZZ	DRAINAGE OF LOWER LIP, PERCUTANEOUS APPROACH
DX	M800	AGE-RELATED OSTEOPOROSIS WITH CURRENT PATHOLOGICAL FRACTURE
DX	S72116S	NONDISPLACED FRACTURE OF GREATER TROCHANTER OF UNSPECIFIED FEMUR, SEQUELA
PR	00C44ZZ	EXTIRPATION OF MATTER FROM INTRACRANIAL SUBDURAL SPACE, PERCUTANEOUS ENDOSCOPIC APPROACH
DX	S72444B	NONDISPLACED FRACTURE OF LOWER EPIPHYSIS (SEPARATION) OF RIGHT FEMUR, INITIAL ENCOUNTER FOR OPEN FRACTURE TYPE I OR II
PR	0T7D7ZZ	DILATION OF URETHRA, VIA NATURAL OR ARTIFICIAL OPENING
PR	0RSP04Z	REPOSITION LEFT WRIST JOINT WITH INTERNAL FIXATION DEVICE, OPEN APPROACH
PR	02UW08Z	SUPPLEMENT THORACIC AORTA, DESCENDING WITH ZOOPLASTIC TISSUE, OPEN APPROACH
DX	S92152B	DISPLACED AVULSION FRACTURE (CHIP FRACTURE) OF LEFT TALUS, INITIAL ENCOUNTER FOR OPEN FRACTURE
DX	M07679	ENTEROPATHIC ARTHROPATHIES, UNSPECIFIED ANKLE AND FOOT
PR	94.64	nan
RX	00212458072	TOLEREX
DX	S62509P	FRACTURE OF UNSPECIFIED PHALANX OF UNSPECIFIED THUMB, SUBSEQUENT ENCOUNTER FOR FRACTURE WITH MALUNION
DX	T24111S	BURN OF FIRST DEGREE OF RIGHT THIGH, SEQUELA
DX	01890	UNSPECIFIED MILIARY TUBERCULOSIS, UNSPECIFIED
DX	M89639	OSTEOPATHY AFTER POLIOMYELITIS, UNSPECIFIED FOREARM
PR	H0030	BEHAVIORAL HEALTH HOTLINE SERVICE
DX	V200XXA	MOTORCYCLE DRIVER INJURED IN COLLISION WITH PEDESTRIAN OR ANIMAL IN NONTRAFFIC ACCIDENT, INITIAL ENCOUNTER
DX	4592	COMPRESSION OF VEIN
